objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587727177937387802,2.593702,2.441603,2.640337,2.474732,2.848909,3.559942,7.827435,6.914003,7.111427,9.368964,0.057639,2.347474,2.433004,2.436653,2.492502,22.365175,20.362186,18.530901,17.706678,17.275063,22.365175,20.362186,18.530901,17.706678,17.275063,22.331032,20.610083,18.72683,17.969351,17.395603
587724241770381502,3.110107,3.041354,2.976391,2.907088,2.71222,4.979104,7.998809,7.453915,7.616356,6.36505,0.764839,2.224592,2.2919,2.31063,2.294936,19.9041,18.158834,16.933395,16.371319,15.941606,19.9041,18.158834,16.933395,16.371319,15.941606,19.881481,18.035727,16.849272,16.288797,15.956509
588015508220739761,1.194239,1.311288,1.35529,1.318936,1.320924,2.37621,2.618807,2.898202,2.709169,2.717797,1.981758,2.055429,2.123798,2.131655,2.168445,20.186775,19.002609,18.271296,17.82616,17.572338,20.186775,19.002609,18.271296,17.82616,17.572338,20.349197,19.041452,18.287012,17.870687,17.605963
587727180085002346,3.018906,2.759424,2.268771,2.202985,2.079157,4.877996,6.405769,5.974077,5.606831,5.99134,2.021783,2.457114,2.386791,2.405116,2.353194,19.986084,18.222006,17.093714,16.543367,16.165068,19.986084,18.222006,17.093714,16.543367,16.165068,19.816307,18.275242,17.243187,16.733839,16.374712
587731512085774522,5.556535,5.172436,4.702473,4.551301,4.281061,11.240957,10.611569,9.972465,10.144977,9.695269,0.595919,2.08271,2.265148,2.375099,2.405869,18.632586,17.058887,16.187786,15.648339,15.248658,18.632586,17.058887,16.187786,15.648339,15.248658,18.439133,17.002272,16.247248,15.721883,15.399873
587727180621938837,4.635843,4.059276,3.573652,3.12059,2.944593,7.590121,8.72208,9.70782,8.612682,9.129738,2.599698,2.323694,2.291005,2.299489,2.309656,19.700783,17.738333,16.720751,16.239172,15.892371,19.700783,17.738333,16.720751,16.239172,15.892371,19.425446,17.692028,16.751305,16.363195,16.042315
587727179011260516,1.473182,1.526929,1.433666,1.437429,1.437298,4.169277,4.577991,4.466609,4.434936,4.223819,2.149991,2.288433,2.28964,2.307667,2.288092,20.242174,18.11062,16.95927,16.480989,16.101019,20.242174,18.11062,16.95927,16.480989,16.101019,20.281208,18.125154,16.988838,16.522774,16.15465
588015507683869094,4.037545,0.418389,1.554382,1.53126,1.392341,6.526796,0.586202,4.373992,4.351874,3.772967,0.773171,2.40376,2.238088,2.332788,2.235635,23.510843,21.586184,19.789906,18.783758,18.251558,23.510843,21.586184,19.789906,18.783758,18.251558,21.879147,23.428965,19.865107,18.861551,18.371471
588015509294481601,5.523204,2.927391,3.000778,2.950571,2.795722,8.652538,9.231568,9.495851,10.01717,9.199601,0.443003,2.322978,2.373075,2.391831,2.399349,20.200945,18.116447,16.774805,16.206615,15.757869,20.200945,18.116447,16.774805,16.206615,15.757869,19.665026,18.143566,16.79315,16.23,15.823987
587724240159703171,3.271267,1.865318,1.801471,1.721472,1.578145,8.036716,4.73726,5.201446,5.197274,4.456312,0.983143,2.359744,2.364589,2.329109,2.286609,20.438248,18.663824,17.638271,17.091986,16.737734,20.438248,18.663824,17.638271,17.091986,16.737734,20.01992,18.720497,17.700647,17.198374,16.907574
588015509294481618,1.895024,1.28744,1.253092,1.202923,1.123753,4.395876,3.335899,3.352582,3.270154,2.943985,2.025614,2.289282,2.319626,2.334711,2.300764,20.932102,18.972631,17.892488,17.338907,16.909689,20.932102,18.972631,17.892488,17.338907,16.909689,20.55114,19.058084,18.004454,17.462954,17.089499
587724241233510833,2.325576,-9999,2.533435,1.492927,0.977008,3.035993,-9999,6.635876,2.944711,1.642664,0.498312,2.251396,2.358934,2.416366,2.356497,21.361965,21.021833,19.087259,18.321535,17.899864,21.361965,21.021833,19.087259,18.321535,17.899864,21.593418,25.428795,19.368124,19.090179,19.167448
588015509294547280,5.391047,3.281925,3.058836,3.056668,3.151654,11.023408,6.010495,6.235199,6.409226,6.364464,1.488148,2.102074,2.199439,2.212078,2.329696,20.089411,18.946321,18.039188,17.588684,17.190466,20.089411,18.946321,18.039188,17.588684,17.190466,19.420168,18.942276,18.107533,17.65859,17.225992
587731512085840056,2.274719,1.395622,1.346602,1.308914,1.313226,3.606772,3.804348,3.679347,3.945108,3.537844,0.603191,2.241017,2.270877,2.312351,2.305285,21.466221,19.576645,18.316402,17.757446,17.305279,21.466221,19.576645,18.316402,17.757446,17.305279,20.94162,19.575743,18.362852,17.764818,17.362532
587731513696452677,5.781659,1.85615,1.887013,1.806315,1.597059,7.697085,4.248144,5.021428,4.694994,3.911824,0.220066,2.392349,2.319321,2.344779,2.330162,21.524961,19.204258,17.701773,17.075428,16.653406,21.524961,19.204258,17.701773,17.075428,16.653406,21.183212,19.372961,17.849791,17.228302,16.925287
587727177937453158,0.597011,1.834033,1.93742,1.922081,1.648479,0.790407,4.832252,5.642567,6.149978,4.420746,0.984539,2.333101,2.373856,2.33719,2.264416,21.225489,19.051508,17.669504,17.144783,16.776823,21.225489,19.051508,17.669504,17.144783,16.776823,23.220039,19.17424,17.732983,17.221428,16.99155
587724240159768666,4.763913,4.137747,4.182112,4.24969,3.524166,13.953334,9.314072,9.618762,10.041632,7.912516,1.88861,2.114985,2.153234,2.18693,2.189256,18.606022,17.217295,16.542725,16.159084,15.937634,18.606022,17.217295,16.542725,16.159084,15.937634,18.553032,17.282806,16.613899,16.196335,16.165489
588015510368288921,2.409373,2.525121,2.436959,2.321531,2.530702,4.895462,5.431297,5.367621,4.86592,5.67843,2.416166,2.287753,2.396978,2.401902,2.468811,19.331169,18.142729,17.490332,17.05068,16.794804,19.331169,18.142729,17.490332,17.05068,16.794804,19.346325,18.173876,17.465559,17.073458,16.747999
588015510368288922,1.751331,2.156606,1.979376,1.905903,1.974492,2.828245,4.052344,3.959613,3.886189,4.530831,2.11646,2.111764,2.223624,2.284735,2.310234,20.046782,18.598665,17.770006,17.306967,16.989542,20.046782,18.598665,17.770006,17.306967,16.989542,20.266741,18.530354,17.792923,17.359259,16.991276
587731511548969298,6.285061,4.227603,4.137202,3.981808,4.193912,13.704618,7.311568,7.49435,7.135597,9.903963,2.200242,2.067522,2.160481,2.182193,2.239171,19.602966,18.238144,17.440126,17.021532,16.652649,19.602966,18.238144,17.440126,17.021532,16.652649,19.164814,18.295591,17.521965,17.141306,16.721622
587727180622004351,2.151337,1.506294,1.522267,1.493137,1.466018,5.481009,4.412446,4.461333,4.27424,4.238831,2.221064,2.283385,2.258194,2.260488,2.28686,19.677471,17.839567,16.925882,16.495697,16.173019,19.677471,17.839567,16.925882,16.495697,16.173019,19.493517,17.894485,16.985937,16.56934,16.267157
588015510368288944,2.866703,1.638041,1.701902,1.652089,1.668105,6.842194,5.146452,5.506248,5.303125,5.201158,2.293202,2.313087,2.3211,2.307321,2.277764,20.439989,18.604826,17.445343,16.904598,16.469604,20.439989,18.604826,17.445343,16.904598,16.469604,19.953808,18.682978,17.502958,16.986732,16.5319
